year,target
5677,-8.771722
5678,-6.1060996
5679,-6.3040867
5680,-7.3279495
5681,-6.9459486
5682,-6.504939
5683,-5.7262936
5684,-6.972783
5685,-6.7177277
5686,-7.159501
5687,-5.605121
5688,-4.8957834
5689,3.4354837
5690,3.9042137
5691,1.8529319
5692,1.6992414
5693,-0.054435015
5694,-0.6319008
5695,-0.44351256
5696,-1.6147242
5697,-1.8274848
5698,-1.5712214
5699,-4.1510615
5700,-13.452866
5701,-27.492432
5702,-31.525955
5703,-27.761988
5704,-12.543548
5705,-12.911294
5706,-6.9032865
5707,-1.6185908
5708,1.9048814
5709,2.34348
5710,2.825153
5711,2.825153
5712,1.3960267
5713,-2.8867726
5714,-2.6082735
5715,-7.60987
5716,-8.034175
5717,-13.28185
5718,-21.832375
5719,-28.58751
5720,-30.240837
5721,-36.33214
5722,-35.17012
5723,-33.956375
5724,-30.267078
5725,-30.673885
5726,-23.122255
5727,-25.693682
5728,-32.288666
5729,-29.265259
5730,-34.105858
5731,-23.414057
5732,-16.875278
5733,-6.2715783
5734,-6.385898
5735,-5.4466634
5736,-5.165954
5737,0.1477086
5738,-2.8020394
5739,-3.5868301
5740,-4.6022415
5741,-7.056168
5742,-7.459969
5743,-7.8099184
5744,-9.203453
5745,-13.285122
5746,-10.553799
5747,-9.90204
5748,-7.5334196
5749,-7.838892
5750,-4.711085
5751,-6.8365765
5752,0.68337345
5753,2.8810859
5754,5.052246
5755,4.8444047
5756,5.447774
5757,6.363119
5758,7.4279447
5759,6.632627
5760,9.096533
5761,6.6414084
5762,9.345305
5763,9.443146
5764,6.8106184
5765,6.713722
5766,2.6556454
5767,1.4791298
5768,1.7080705
5769,3.6651719
5770,2.784119
5771,0.6873721
5772,1.0793428
5773,1.5525286
5774,0.89503825
5775,-0.37182486
5776,5.385458
5777,5.5339265
5778,5.8370624
5779,8.994723
5780,9.161869
5781,7.23511
5782,9.028266
5783,8.966575
5784,8.385838
5785,7.8284564
5786,9.035186
5787,7.0583506
5788,5.16028
5789,-10.200452
5790,-10.563297
5791,-17.497849
5792,-22.640377
5793,-26.267563
5794,-24.131697
5795,-23.616138
5796,-34.475018
5797,-35.49287
5798,-35.82333
5799,-31.060648
5800,-28.9908
5801,-31.802364
5802,-29.271624
5803,-28.611729
5804,-29.656517
5805,-27.729769
5806,-26.871452
5807,-18.143
5808,-14.688838
5809,-14.306153
5810,-6.387058
5811,-22.189093
5812,-22.524424
5813,-30.467747
5814,-32.93223
5815,-29.92637
5816,-24.901386
5817,-29.310598
5818,-28.999865
5819,-27.72257
5820,-31.22269
5821,-35.633175
5822,-33.716187
5823,-33.88064
5824,-26.875475
5825,-27.050745
5826,-26.73751
5827,-22.165293
5828,-23.466553
5829,-29.298477
5830,-28.205812
5831,-26.688398
5832,-24.968754
5833,-24.93252
5834,-26.34982
5835,-22.523731
5836,-23.925055
5837,-19.079012
5838,-9.694869
5839,-12.194656
5840,-8.650999
5841,-8.920073
5842,-10.06573
5843,-7.535877
5844,-7.670889
5845,-6.850293
5846,-6.402427
5847,-5.9379606
5848,-5.04974
5849,-7.721483
5850,-7.1608453
5851,-14.045137
5852,-21.567255
5853,-25.093275
5854,-29.222322
5855,-31.951199
5856,-34.437088
5857,-36.016827
5858,-35.93597
5859,-41.34066
5860,-35.731438
5861,-37.388977
5862,-37.153847
5863,-41.781086
5864,-40.694935
5865,-35.77344
5866,-35.498363
5867,-19.395979
5868,-19.128725
5869,-17.145325
5870,-12.055332
5871,-12.432624
5872,-10.296061
5873,-9.334901
5874,-9.598745
5875,-13.359326
5876,-16.319736
5877,-14.569273
5878,-12.859964
5879,-12.280401
5880,-14.739928
5881,-13.372556
5882,-14.358859
5883,-26.436163
5884,-28.012499
5885,-32.53051
5886,-38.013897
5887,-35.78879
5888,-40.38728
5889,-36.78605
5890,-35.251663
5891,-35.434147
5892,-35.148132
5893,-37.265266
5894,-38.354454
5895,-36.051395
5896,-35.704784
5897,-36.430614
5898,-33.35449
5899,-34.142834
5900,-33.28248
5901,-30.136581
5902,-27.051327
5903,-27.903912
5904,-29.710218
5905,-29.042564
5906,-30.12086
5907,-24.769878
5908,-37.452095
5909,-40.21021
5910,-36.510883
5911,-32.68291
5912,-36.16276
5913,-36.31671
5914,-38.50483
5915,-37.433838
5916,-37.432156
5917,-34.78425
5918,-37.695015
5919,-34.52729
5920,-30.801008
5921,-18.443464
5922,-12.059867
5923,-11.877511
5924,-6.4640126
5925,-5.7813816
5926,-3.3994858
5927,-1.1264293
5928,-1.1973059
5929,-2.1569183
5930,-1.3311312
5931,-4.3842216
5932,-5.942107
5933,-5.310964
5934,-4.903828
5935,-9.315719
5936,-7.5887213
5937,-8.5444765
5938,-6.9172072
5939,-5.578274
5940,-5.7870226
5941,-3.4570029
5942,-1.1278503
5943,0.51321024
5944,-0.8136635
5945,-3.4988744
5946,1.4771662
5947,1.694113
5948,3.1558
5949,3.693657
5950,4.3515654
5951,4.239959
5952,4.4921274
5953,4.846364
5954,3.8414378
5955,2.838843
5956,-1.0017507
5957,-5.182593
5958,-10.733014
5959,-7.420339
5960,-10.506685
5961,-8.2911825
5962,-8.20178
5963,-10.656439
5964,-8.201533
5965,-5.5584335
5966,-7.32822
5967,-5.427912
5968,-4.6809373
5969,-6.4136434
5970,-3.3858893
5971,2.3992562
5972,1.9667754
5973,1.4537425
5974,2.340009
5975,-2.7770476
5976,0.08541399
5977,-0.08911443
5978,-4.380216
5979,-5.0284057
5980,-4.7808785
5981,-4.374085
5982,-3.9850278
5983,-10.475959
5984,-12.397381
5985,-12.3344555
5986,-11.863478
5987,-11.253639
5988,-13.076354
5989,-12.679763
5990,-11.733762
5991,-10.342534
5992,-7.1299176
5993,-9.629362
5994,-9.164897
5995,-9.5436
5996,-9.288521
5997,-9.670301
5998,-8.704914
5999,-9.032579
6000,-6.0728593
6001,-5.6021104
6002,-6.885127
6003,-8.325384
6004,-10.044279
6005,-11.882428
6006,-14.463203
6007,-16.19999
6008,-17.193743
6009,-14.883074
6010,-15.115836
6011,-15.962519
6012,-15.000002
6013,-16.919743
6014,-15.682867
6015,-14.274419
6016,-14.932231
6017,-16.579157
6018,-17.030666
6019,-16.325922
6020,-15.747183
6021,-23.65713
6022,-23.37946
6023,-24.397243
6024,-25.215532
6025,-27.961084
6026,-28.362854
6027,-21.074066
6028,-17.032001
6029,-15.0310335
6030,-17.755701
6031,-18.224215
6032,-18.215523
6033,-18.728498
6034,-20.23792
6035,-19.573563
6036,-19.17949
6037,-19.175629
6038,-18.636166
6039,-18.418648
6040,-15.707291
6041,-13.167256
6042,-12.431213
6043,-13.896281
6044,-14.060337
6045,-12.702608
6046,-12.768477
6047,-13.323834
6048,-11.905087
6049,-10.255785
6050,-12.754151
6051,-13.131134
6052,-17.2785
6053,-18.24653
6054,-19.386293
6055,-19.340178
6056,-21.022024
6057,-20.70768
6058,-19.256598
6059,-18.016796
6060,-20.28439
6061,-19.837961
6062,-19.286839
6063,-19.454916
6064,-18.884321
6065,-18.973835
6066,-18.504452
6067,-18.344807
6068,-16.735302
6069,-14.078524
6070,-13.347605
6071,-13.635095
6072,-13.954377
6073,-14.78601
6074,-14.042897
6075,-14.61117
6076,-22.135746
6077,-18.43299
6078,-19.609682
6079,-20.16442
6080,-24.121536
6081,-20.252342
6082,-20.482407
6083,-20.724325
6084,-19.633148
6085,-20.107925
6086,-20.399254
6087,-19.533987
6088,-19.351355
6089,-19.031971
6090,-19.228138
6091,-18.567602
6092,-18.788572
6093,-18.501019
6094,-18.31193
6095,-17.572216
6096,-17.422636
6097,-17.481672
6098,-17.572954
6099,-17.943857
6100,-18.01058
6101,-16.50106
6102,-21.919182
6103,-27.471987
6104,-32.38345
6105,-41.06707
6106,-37.252853
6107,-32.32738
6108,-32.189392
6109,-33.486088
6110,-34.36898
6111,-36.481762
6112,-35.851486
6113,-38.070713
6114,-37.004295
6115,-36.69572
6116,-23.22175
6117,-18.805183
6118,-16.753288
6119,-13.899134
6120,-14.836
6121,-15.922686
6122,-17.31969
6123,-19.367867
6124,-18.893787
6125,-19.599455
6126,-19.50014
6127,-20.212177
6128,-20.198856
6129,-19.76208
6130,-20.56751
6131,-20.279724
6132,-20.497358
6133,-20.296997
6134,-20.710468
6135,-21.075005
6136,-19.734886
6137,-19.399002
6138,-19.64096
6139,-16.955227
6140,-15.820183
6141,-17.199892
6142,-12.858417
6143,-12.754865
6144,-14.37677
6145,-14.622719
6146,-15.497553
6147,-16.622568
6148,-20.242136
6149,-20.418324
6150,-20.337328
6151,-19.923668
6152,-19.685797
6153,-20.417145
6154,-20.032299
6155,-19.530075
6156,-20.281324
6157,-20.067028
6158,-19.51536
6159,-19.538437
6160,-18.70743
6161,-18.157562
6162,-18.06467
6163,-18.045534
6164,-18.110853
6165,-15.989252
6166,-15.215423
6167,-13.670173
6168,-11.821813
6169,-9.363982
6170,-8.964308
6171,-9.826304
6172,-14.974417
6173,-15.863405
6174,-18.405846
6175,-19.47934
6176,-18.904116
6177,-19.55602
6178,-19.094177
6179,-17.624702
6180,-19.27135
6181,-18.76123
6182,-16.364828
6183,-18.692814
6184,-16.860304
6185,-17.038553
6186,-17.27131
6187,-17.689878
6188,-16.46754
6189,-16.53974
6190,-16.924156
6191,-15.255931
6192,-11.982492
6193,-13.323492
6194,-12.923449
6195,-11.090041
6196,-12.63791
6197,-13.101636
6198,-11.730267
6199,-13.241945
6200,-17.5774
6201,-18.47079
6202,-18.294222
6203,-18.326384
6204,-18.175365
6205,-17.972069
6206,-17.746326
6207,-12.471497
6208,-13.035877
6209,-8.937992
6210,-9.123081
6211,-7.108088
6212,-5.8626084
6213,-4.1292224
6214,-1.160764
6215,-1.8759263
6216,-1.2997749
6217,0.5412157
6218,0.7748743
6219,1.4063056
6220,-2.7768571
6221,-8.025989
6222,-8.266923
6223,-9.523395
6224,-9.722947
6225,-10.327692
6226,-15.308197
6227,-13.743247
6228,-19.303654
6229,-20.10886
6230,-18.415808
6231,-7.4942164
6232,-2.1369307
6233,-1.7570245
6234,-3.400893
6235,-9.238056
6236,-0.85164714
6237,-1.9656103
6238,0.34652278
6239,2.5425148
6240,2.5327075
6241,-0.5916362
6242,-0.36562103
6243,-1.6360774
6244,-4.9057755
6245,-6.650004
6246,-6.2960057
6247,-10.409437
6248,-12.965158
6249,-14.222367
6250,-14.765305
6251,-15.7761
6252,-12.892126
6253,-14.136112
6254,-14.408008
6255,-8.831331
6256,-8.643212
6257,-6.4337153
6258,-3.826652
6259,-7.033009
6260,-1.3669493
6261,0.159423
6262,0.32007605
6263,0.35789984
6264,0.4691693
6265,-1.6121912
6266,-4.335523
6267,-6.2431417
6268,-6.9958825
6269,-11.078213
6270,-11.941664
6271,-8.8254385
6272,-13.616063
6273,-14.288776
6274,-14.433714
6275,-14.70806
6276,-15.122349
6277,-14.640172
6278,-14.394824
6279,-13.199351
6280,-11.351325
6281,-4.810638
